"Date","Price","Open","High","Low","Vol.","Change %"
"13-10-2021","249.20","242.55","250.90","240.15","50.16M","3.27%"
"12-10-2021","241.30","238.60","243.00","238.00","29.22M","1.37%"
"11-10-2021","238.05","232.00","239.50","231.70","21.18M","2.74%"
"08-10-2021","231.70","234.75","234.80","231.20","9.74M","-0.54%"
"07-10-2021","232.95","233.00","234.95","232.30","10.37M","0.74%"
"06-10-2021","231.25","234.80","236.40","230.60","17.51M","-1.47%"
"05-10-2021","234.70","236.40","237.45","234.50","9.22M","-0.80%"
"04-10-2021","236.60","236.00","238.35","235.40","10.69M","0.53%"
"01-10-2021","235.35","235.20","237.00","232.90","15.96M","-0.34%"
"30-09-2021","236.15","239.90","240.40","235.25","16.36M","-0.82%"
"29-09-2021","238.10","236.00","241.40","235.70","15.45M","0.15%"
"28-09-2021","237.75","239.85","241.60","236.30","15.71M","-0.40%"
"27-09-2021","238.70","239.80","241.85","235.50","22.89M","0.10%"
"24-09-2021","238.45","244.00","244.00","237.70","24.82M","-1.67%"
"23-09-2021","242.50","245.00","245.60","241.70","21.79M","-0.41%"
"22-09-2021","243.50","243.50","245.80","240.70","52.62M","0.83%"
"21-09-2021","241.50","234.95","242.45","231.70","56.67M","3.32%"
"20-09-2021","233.75","231.00","239.35","230.25","70.39M","1.12%"
"17-09-2021","231.15","233.00","237.30","229.10","79.50M","0.17%"
"16-09-2021","230.75","216.95","233.65","216.30","149.24M","6.83%"
"15-09-2021","216.00","217.10","217.20","215.30","20.25M","-0.05%"
"14-09-2021","216.10","214.90","217.25","214.20","19.62M","0.91%"
"13-09-2021","214.15","213.35","215.15","211.80","16.04M","0.71%"
"09-09-2021","212.65","211.05","213.90","210.55","19.05M","0.66%"
"08-09-2021","211.25","212.25","213.00","209.70","17.23M","-0.24%"
"07-09-2021","211.75","210.90","214.35","210.15","37.49M","1.17%"
"06-09-2021","209.30","211.00","211.20","209.05","10.63M","-0.62%"
"03-09-2021","210.60","209.75","211.25","209.75","10.23M","0.41%"
"02-09-2021","209.75","209.00","211.50","209.00","14.32M","0.12%"
"01-09-2021","209.50","211.00","212.30","209.30","16.24M","-0.85%"
"31-08-2021","211.30","208.05","211.60","207.25","25.81M","1.59%"
"30-08-2021","208.00","206.00","208.20","206.00","12.08M","1.02%"
"27-08-2021","205.90","205.00","206.85","204.90","10.48M","0.64%"
"26-08-2021","204.60","206.40","206.85","204.35","14.84M","-0.87%"
"25-08-2021","206.40","206.40","207.90","206.00","10.59M","0.32%"
"24-08-2021","205.75","207.00","207.00","204.70","12.49M","-0.27%"
"23-08-2021","206.30","209.50","210.20","206.00","9.94M","-1.24%"
"20-08-2021","208.90","207.00","210.70","206.70","19.42M","-0.02%"
"18-08-2021","208.95","209.60","211.50","208.35","10.74M","-0.12%"
"17-08-2021","209.20","210.80","211.50","208.80","7.86M","-0.81%"
"16-08-2021","210.90","211.40","213.25","210.50","11.19M","-0.26%"
"13-08-2021","211.45","209.85","212.30","209.20","18.85M","1.22%"
"12-08-2021","208.90","210.25","214.20","208.35","27.69M","0.12%"
"11-08-2021","208.65","209.85","210.60","207.45","15.42M","-0.57%"
"10-08-2021","209.85","214.00","214.45","208.55","18.16M","-1.85%"
"09-08-2021","213.80","215.00","217.15","212.70","20.36M","-0.21%"
"06-08-2021","214.25","215.40","216.00","212.60","23.58M","-0.46%"
"05-08-2021","215.25","208.60","216.75","206.90","47.18M","3.19%"
"04-08-2021","208.60","210.90","211.10","208.10","11.00M","-0.62%"
"03-08-2021","209.90","207.50","210.90","206.45","18.47M","1.25%"
"02-08-2021","207.30","206.45","207.50","205.45","9.67M","1.15%"
"30-07-2021","204.95","206.10","207.10","204.60","14.94M","-0.53%"
"29-07-2021","206.05","209.10","210.20","205.65","15.60M","-1.46%"
"28-07-2021","209.10","208.30","210.00","207.45","14.74M","0.22%"
"27-07-2021","208.65","212.00","213.00","207.95","24.44M","-1.18%"
